prompt_id,prompt,prompt_category,vague_language,spelling_errors,answerable,complexity,expected_layout,expected_charts
0,Show me how many incidents of sex trafficking were reported in 2021.,retrieve value,False,False,True,2,focused,"[""bar""]"
1,Wich reegions have heighest reports of forced labor?,retrieve value,False,True,True,1,informative,"[""bar"", ""geoshape""]"
2,Can you visualize the trend of human trafficking cases over the last five years?,retrieve value,False,False,True,3,informative,"[""line"", ""area""]"
3,What's the count of incidents from different countries?,retrieve value,False,False,True,0,informative,"[""bar"", ""geoshape""]"
4,Compare victim count for each type of crime.,retrieve value,False,False,True,1,focused,"[""bar""]"
5,Which country has a lot of human-trafficking incidents?,retrieve value,True,False,True,1,informative,"[""geoshape""]"
6,Show me the distribution of traffiking incidents across countries.,retrieve value,False,False,True,2,informative,"[""geoshape""]"
7,Whow many people have been affected by human trafficking globally?,retrieve value,False,True,True,0,focused,"[""bar"", ""point""]"
8,List the frequency of different types of human trafficking crimes.,retrieve value,False,False,True,0,focused,"[""bar""]"
9,Diagram out the victum's nationalities involved in incidents.,retrieve value,False,True,True,1,focused,"[""bar""]"
10,Can we have a map of where most crimes have originated from recenty?,retrieve value,True,False,True,3,informative,"[""geoshape""]"
11,What region reports the most instances of human trafficking?,retrieve value,False,False,True,1,focused,"[""bar"", ""geoshape""]"
12,Could you tell me which countries' nationals are most frequently victims?,retrieve value,True,False,True,2,informative,"[""bar""]"
13,Display the number of human trafficking cases reported last month.,retrieve value,False,False,True,3,focused,"[""bar""]"
14,Show the trend of victim counts in human trafficking cases over the recent years.,retrieve value,False,False,True,3,informative,"[""line"", ""area""]"
15,How many reports were of high confidence?,retrieve value,False,False,True,1,focused,"[""bar""]"
16,Graph the types of crimes committed and how many times they got reported.,retrieve value,False,False,True,1,focused,"[""bar""]"
17,Can you show the number of trafficking cases by the nationality of the perpetrators?,retrieve value,False,False,True,2,informative,"[""bar""]"
18,Is there data on which type of trafficking is most widespread?,retrieve value,False,False,True,1,focused,"[""bar""]"
19,What regions fogure most in human trafficking cases?,retrieve value,False,True,True,1,informative,"[""bar"", ""geoshape""]"
20,Can you find any data on the effectiveness of police in different regions in stopping human trafficking?,retrieve value,False,False,False,2,,[]
21,Could you plot out the victim to crime type ratios?,retrieve value,False,False,True,2,focused,"[""bar""]"
22,Are there charts available showing the trend in immigrant victims over the past decade?,retrieve value,True,False,True,3,informative,"[""line"", ""area""]"
23,Please provide figures for local vs foreign perpetrator incidents in 2022.,retrieve value,False,False,True,4,informative,"[""bar"", ""rect""]"
24,Overview of human trafficing reports based on the victim count.,retrieve value,False,True,True,1,focused,"[""bar""]"
