prompt_id,prompt,prompt_category,vague_language,spelling_errors,answerable,complexity,expected_layout,expected_charts
0,What types of crimes are most prevalent in Southeast Asia?,retrieve value,True,False,True,2,focused,"[""bar""]"
1,Show the distribution of incident types reported in Brazil last year.,retrieve value,False,False,True,3,focused,"[""bar""]"
2,Can you display how common each type of trafficking is globally?,retrieve value,False,False,True,1,focused,"[""bar""]"
3,How does the confidence level vary among high victim count incidents?,retrieve value,False,False,True,2,focused,"[""bar""]"
4,I want to know which country reports the msot cases of child explotation.,retrieve value,False,True,True,1,focused,"[""bar""]"
5,Which countries have a lot of reported human trafficking cases?,retrieve value,True,False,True,1,focused,"[""bar""]"
6,Show the trends of trafficking incidents over the last decade?,retrieve value,False,False,True,3,focused,"[""line""]"
7,Select that countries that reportd a significant amount of forced labour cases.,retrieve value,False,True,True,2,focused,"[""bar""]"
8,Provide a comparison of different types of crime in the Northern region last year.,retrieve value,False,False,True,3,focused,"[""bar""]"
9,How many incidents of human trafficing were reported in various states of the USA?,retrieve value,False,True,True,2,focused,"[""bar""]"
10,Display the stats on victims based on their nationality.,retrieve value,True,False,True,1,focused,"[""bar""]"
11,Which countries do the perpetrators come from in cases of high victim count?,retrieve value,False,False,True,4,focused,"[""bar""]"
12,Show the numer of incidents broken down by type and region.,retrieve value,False,True,True,2,focused,"[""bar""]"
13,Relative confidence in trafficking reports from different countries?,retrieve value,True,False,True,2,focused,"[""bar""]"
14,Visualize the types of trafficking crimes and their frequency.,retrieve value,False,False,True,1,focused,"[""bar""]"
15,What countries are commonly reported for incidnts involving large numbers of victims?,retrieve value,False,True,True,2,focused,"[""bar""]"
16,"For those countries with frequent reports, what are common perpetrator nationalities?",retrieve value,False,False,True,4,focused,"[""bar""]"
17,Can you show me the crimetype that has risen the most over the last few years?,retrieve value,True,False,True,5,focused,"[""line""]"
18,What actions lead to the highest victim counts?,retrieve value,False,False,False,0,,[]
19,Which regions have seen the most instances of trafficking in recent months?,retrieve value,True,False,False,0,,[]
20,Categorize the sexual exploatation cases by victim nationality.,retrieve value,False,True,True,2,focused,"[""bar""]"
21,What percentage of trafficking cases involve multiple perpetrators?,retrieve value,False,False,False,0,,[]
22,Show me chart of traffiking trends across difrent continents.,retrieve value,False,True,True,1,focused,"[""bar""]"
23,Can you illustrate the typical profile of traffickers in Eastern Europe?,retrieve value,True,False,False,0,,[]
24,What are the most common nationalities of victims and perpetrators in high incidence crime type areas?,retrieve value,True,False,True,5,focused,"[""rect""]"
25,Can you show cases of human trafficking involving children in Southeast Asia?,filter,True,False,False,3,,[]
26,Display the number of incidents reported last month from countries in North America.,filter,False,False,True,3,focused,"[""bar"", ""geoshape""]"
27,What crime types have been most frequent in high-confidence human trafficking incidents?,filter,False,False,True,2,focused,"[""bar""]"
28,Where have tehre been mroe than 50 cases of forced labor?,filter,False,True,True,1,focused,"[""bar"", ""geoshape""]"
29,Can you show me the distribution of trafficking cases by victim nationality and crime type over the last year?,filter,False,False,True,4,informative,"[""bar"", ""line"", ""rect""]"
30,How many cases are reported as low confidence across all regions?,filter,False,False,True,0,focused,"[""bar""]"
31,Shwo me the trend of human trafficking incidents over the past 5 years in the US.,filter,False,True,True,2,focused,"[""line""]"
32,"For recent years, which countries reported the most smuggling crimes?",filter,True,False,True,3,focused,"[""bar"", ""geoshape""]"
33,What kind of exploitations are often seen in regions with a lot of high confidence cases?,filter,True,False,True,3,informative,"[""bar"", ""rect""]"
34,How many human trafficking cases have been reported by each European country last year?,filter,False,False,True,2,focused,"[""bar"", ""geoshape""]"
35,Which area reports a large amount of trafficking cases?,filter,True,False,True,1,focused,"[""geoshape""]"
36,Show the data for forced labour incidents that have high cconfidence reports in Asia.,filter,False,True,True,2,focused,"[""bar"", ""rect""]"
37,Can you identify the most common type of trafficking in countries that are mostly affected?,filter,True,False,True,4,informative,"[""bar""]"
38,Map the countries that reported significant amounts of sex trafficking.,filter,True,False,True,1,focused,"[""geoshape""]"
39,What crimes are associated wih high victim counts?,filter,False,True,True,1,focused,"[""bar""]"
40,Which Southeast Asian countries have reported human trafficking cases with victims from multiple nationalities?,filter,False,False,True,3,informative,"[""bar"", ""rect"", ""geoshape""]"
41,List cases of human trafficking where no perpetrator was found.,filter,False,False,False,2,,[]
42,How does the distribution of forced labor cases compare between African and South American countries?,filter,False,False,True,2,focused,"[""bar"", ""geoshape""]"
43,Show the ratio of cases of forced labour to sex trafficking in countries of the European union.,filter,False,False,True,3,focused,"[""arc"", ""geoshape""]"
44,I want to see how many high-confidence victim cases are there that involve both infant children and elderly,filter,False,False,False,5,,[]
45,Can you produce a chart showing the trend in trafficking incidents involving Indian victims over recent years?,filter,False,False,True,3,focused,"[""line"", ""area""]"
46,Display trafficking incidents where perpetrators were frm the same country of the victims.,filter,False,True,True,2,focused,"[""bar""]"
47,Which regions of the world have the most reports of trafficking last year?,filter,True,False,True,2,focused,"[""bar"", ""geoshape""]"
48,I need a map that shows European countries with a high number of reported trafficking cases.,filter,False,False,True,1,focused,"[""geoshape""]"
49,How many reports of human trafficking were filed last year?,compute derived value,False,False,True,1,focused,"[""bar""]"
50,Show the total number of victims grouped by the countries they come from.,compute derived value,False,False,True,2,focused,"[""bar""]"
51,Which region has the highest number of trafficking incident reports?,compute derived value,False,False,True,1,focused,"[""bar""]"
52,Can you show a comparison of crimes based on the type invloved?,compute derived value,False,True,True,1,focused,"[""bar""]"
53,Graph the number of trafficking incidents over the past five years.,compute derived value,False,False,True,2,focused,"[""line"", ""area""]"
54,What's the averag number of victims per incident?,compute derived value,False,True,True,1,focused,"[""bar""]"
55,Show me many inciddents happend last month?,compute derived value,False,True,True,1,focused,"[""bar""]"
56,I want a chart that shows progression of yearly counts of victims by their nationalities.,compute derived value,False,False,True,3,informative,"[""line"", ""area""]"
57,Display a rank of perpetrator nationalities by how often they're reported.,compute derived value,True,False,True,2,focused,"[""bar""]"
58,Show the distribution of incidents by the type of crime over recent months.,compute derived value,False,False,True,3,focused,"[""bar""]"
59,Reveal the breakdown of vicim counts by the country of the incident.,compute derived value,False,True,True,2,focused,"[""bar"", ""geoshape""]"
60,How many diferent types of crimes are reported?,compute derived value,False,True,True,0,focused,"[""bar""]"
61,Show an average victim count for each crime type in various regions.,compute derived value,False,False,True,3,informative,"[""rect"", ""bar""]"
